,precision,recall,f1-score,support
Renoir,0.3611111111111111,0.13131313131313133,0.19259259259259262,99.0
Matisse,0.36283185840707965,0.41414141414141414,0.3867924528301887,99.0
Pissarro,0.3855421686746988,0.32323232323232326,0.3516483516483517,99.0
Hassam,0.296,0.37373737373737376,0.33035714285714285,99.0
VanGogh,0.2909090909090909,0.48484848484848486,0.3636363636363636,99.0
Sargent,0.40540540540540543,0.45454545454545453,0.42857142857142855,99.0
Degas,0.46,0.46464646464646464,0.4623115577889447,99.0
Monet,0.5789473684210527,0.3333333333333333,0.4230769230769231,99.0
Gauguin,0.6363636363636364,0.35353535353535354,0.45454545454545453,99.0
Cezanne,0.3931034482758621,0.5757575757575758,0.4672131147540984,99.0
accuracy,0.39090909090909093,0.39090909090909093,0.39090909090909093,0.39090909090909093
macro avg,0.41702140875679367,0.39090909090909093,0.38607453823014887,990.0
weighted avg,0.41702140875679367,0.39090909090909093,0.38607453823014887,990.0
